Date,Three_Component_Index,News_Based_Policy_Uncert_Index
1985-01-01,125.2247391,103.7488022
1985-02-01,99.02081299,78.3132019
1985-03-01,112.190506,100.7614822
1985-04-01,102.8113251,84.77886963
1985-05-01,120.0827255,98.05365753
1985-06-01,132.7131805,119.5971451
1985-07-01,128.0018158,111.4151077
1985-08-01,126.7661133,111.2470093
1985-09-01,126.7685623,111.1844635
1985-10-01,116.0577087,93.09910583
1985-11-01,122.0368729,85.09912872
1985-12-01,133.2439117,104.1772156
1986-01-01,155.9329224,144.2664795
1986-02-01,159.4676819,118.9935379
1986-03-01,160.1980896,120.1600494
1986-04-01,150.3662567,102.477356
1986-05-01,132.6379089,132.3861694
1986-06-01,122.5117798,115.0522919
1986-07-01,132.1196289,130.8210602
1986-08-01,127.5524902,118.302597
1986-09-01,132.0183258,125.8942184
1986-10-01,111.5092621,91.82046509
1986-11-01,115.0202866,98.32894135
1986-12-01,108.9681091,87.97968292
1987-01-01,122.1142731,110.4333191
1987-02-01,109.1452408,76.96607208
1987-03-01,122.0848694,99.05958557
1987-04-01,110.8597183,79.53235626
1987-05-01,110.042923,87.58505249
1987-06-01,121.1579132,106.5728531
1987-07-01,106.3480072,81.38941193
1987-08-01,74.83796692,52.7901535
1987-09-01,78.98139191,59.86959457
1987-10-01,143.6030731,170.3220673
1987-11-01,155.4220734,183.1025238
1987-12-01,135.4726563,149.0111389
1988-01-01,131.5214539,142.8728485
1988-02-01,116.5843201,102.0328903
1988-03-01,105.0524597,82.35363007
1988-04-01,113.655983,97.85680389
1988-05-01,96.14573669,99.12745667
1988-06-01,89.78250885,88.28594971
1988-07-01,85.18196869,80.83588409
1988-08-01,100.1584549,94.88969421
1988-09-01,94.55409241,85.35681152
1988-10-01,102.2307816,98.25379944
1988-11-01,113.9598923,102.2340012
1988-12-01,99.66632843,77.82810211
1989-01-01,105.0753632,87.42640686
1989-02-01,84.844841,51.35064316
1989-03-01,97.21567535,72.52325439
1989-04-01,108.86306,92.37982941
1989-05-01,87.81604004,83.75286865
1989-06-01,94.83973694,95.78630829
1989-07-01,84.5699234,78.2565918
1989-08-01,95.86038208,83.10930634
1989-09-01,90.91819763,74.69548035
1989-10-01,91.59668732,76.44955444
1989-11-01,107.8491287,105.0474854
1989-12-01,107.0952301,103.7966843
1990-01-01,100.3591766,92.32149506
1990-02-01,89.59095764,110.4462738
1990-03-01,86.06529236,104.4614105
1990-04-01,76.66169739,88.44817352
1990-05-01,118.537941,97.38793182
1990-06-01,120.526741,100.8643417
1990-07-01,111.5696182,86.28017426
1990-08-01,142.1652527,139.3226929
1990-09-01,157.6952972,165.938446
1990-10-01,141.1195374,137.6742401
1990-11-01,145.2909393,152.4486084
1990-12-01,134.4851227,134.0615387
1991-01-01,175.6585999,204.0105438
1991-02-01,115.2134476,106.5180588
1991-03-01,116.0257034,107.9374847
1991-04-01,107.2416763,93.01464081
1991-05-01,94.75868225,82.14782715
1991-06-01,96.93760681,85.91903687
1991-07-01,93.53157806,80.64899445
1991-08-01,100.5955429,99.12208557
1991-09-01,117.0478058,127.2944412
1991-10-01,105.54142,108.1209641
1991-11-01,122.2491531,140.6123657
1991-12-01,139.999115,171.0109711
1992-01-01,109.2008438,116.3648529
1992-02-01,125.5367661,154.5969238
1992-03-01,91.70582581,96.82842255
